Unnamed: 0,Season,Team,Gtm,Week,Date,H/A,Day,Opp,Rslt,Pts,PtsO,OT,Cmp,Att,Cmp%,P_Yds,P_TD,P_Y/A,Adj_P_Y/A,QBR,Sk,Sk_Yds,R_Att,R_Yds,R_TD,R_Y/A,Ply,Tot,Y/P,FGA,FGM,XPA,XPM,Pnt,Yds.3,Pass,Rsh,Pen,1stD,3DConv,3DAtt,4DConv,4DAtt,Pen.1,Yds.4,FL,Int,TO,ToP,Day.1,Opp_Cmp,Opp_P_Att,Opp_Cmp%,Opp_P_Yds,Opp_P_TD,Opp_P_Y/A,Opp_Adj_P_A/YA,Opp_QBR,Def_Sk,Def_Sk_Yds,Opp_R_Att,Opp_R_Yds,Opp_R_TD,Opp_R_Y/A,Opp_Ply,Opp_Tot,Opp_Y/P,Opp_FGA,Opp_FGM,Opp_XPA,XPM.1,Opp_Pnt,Opp_Pnt_Yds,Opp_1D_P,Opp_1D_R,Opp_1D_Pen,Opp_1D_Tot,Opp_3DConv,Opp_3DAtt,Opp_4DConv,Opp_4DAtt,Opp_Pen,Opp_PenYds,Opp_FL,Opp_Int,Opp_TO,Opp_ToP,Time (ET),Score,Spread,Total,Spread Result,O/U,Total Score,O/U Result,Total TDs,Points Per Drive,Yds Per Drive,4D Success,3D Success,Pts per Play,Sk Rate,3d Stop Rate,4d Stop Rate,Pts Allowed per Play,Yds Allowed per Play,Turnover Diff,Turnover Percentage,Defensive TO Percentage,ToP_Minutes,Opp_ToP_Minutes,Pts Per Min of Poss,Yds per Min of Poss,ToP Ratio,Def Pts Allowed Per Min of Poss,Def Yds Allowed Per Min of Poss,Pts_rollingavg3,PtsO_rollingavg3,Tot_rollingavg3,Opp_Tot_rollingavg3,Points Per Drive_rollingavg3,Yds Per Drive_rollingavg3,Pts per Play_rollingavg3,Y/P_rollingavg3,Opp_Y/P_rollingavg3,TO_rollingavg3,Opp_TO_rollingavg3,ToP_Minutes_rollingavg3,Opp_ToP_Minutes_rollingavg3,Turnover Diff_rollingavg3,Turnover Percentage_rollingavg3,Defensive TO Percentage_rollingavg3,Pts Per Min of Poss_rollingavg3,Yds per Min of Poss_rollingavg3,ToP Ratio_rollingavg3,Def Pts Allowed Per Min of Poss_rollingavg3,Def Yds Allowed Per Min of Poss_rollingavg3,3DConv_rollingavg3,4DConv_rollingavg3,3D Success_rollingavg3,4D Success_rollingavg3,3d Stop Rate_rollingavg3,4d Stop Rate_rollingavg3,Sk Rate_rollingavg3,Season_Weight,Win,Season_Wins,Record,Win PCT,Team_Elo,Opp_Elo
8,2025,atl,1.0,1.0,2025-09-07,0.0,Sun,tam,L,20.0,23.0,0,27.0,42.0,64.3,289.0,1.0,6.9,7.36,92.3,1.0,9.0,28.0,69.0,1.0,2.5,71.0,358.0,5.04,3.0,2.0,2.0,2.0,3.0,140.0,16.0,4.0,3.0,23.0,6.0,15.0,3.0,4.0,8.0,55.0,0.0,0.0,0.0,35:12,Sun,17.0,32.0,53.1,159.0,3.0,5.0,6.84,98.3,1.0,8.0,23.0,101.0,0.0,4.4,56.0,260.0,4.64,2.0,1.0,3.0,2.0,4.0,205.0,10.0,5.0,1.0,16.0,7.0,14.0,1.0,1.0,5.0,60.0,0.0,0.0,0.0,24:48,1:00,L 20-23,L +1.5,U 47.5,1.5,47.5,43.0,U,2.0,2.5,44.75,0.75,0.4,0.28169014084507044,0.03125,0.5,0.0,0.4107142857142857,4.642857142857143,0.0,0.0,0.0,35.2,24.8,0.5681818181818181,10.170454545454545,0.5866666666666667,0.9274193548387096,10.483870967741936,20.0,23.0,358.0,260.0,2.5,44.75,0.28169014084507044,5.04,4.64,0.0,0.0,35.2,24.8,0.0,0.0,0.0,0.5681818181818181,10.170454545454545,0.5866666666666667,0.9274193548387096,10.483870967741936,6.0,3.0,0.4,0.75,0.5,0.0,0.03125,1.0,0.0,0.0,0.0-1.0,0.0,1479.1099436197378,1510.7805010645488
9,2025,atl,2.0,2.0,2025-09-14,1.0,Sun,min,W,22.0,6.0,0,13.0,21.0,61.9,108.0,0.0,5.1,5.14,75.1,3.0,27.0,39.0,218.0,1.0,5.6,63.0,326.0,5.17,5.0,5.0,1.0,1.0,3.0,137.0,5.0,12.0,2.0,19.0,6.0,15.0,0.0,0.0,5.0,29.0,1.0,0.0,1.0,36:32,Sun,11.0,21.0,52.4,120.0,0.0,5.7,1.43,30.0,6.0,38.0,19.0,78.0,0.0,4.1,46.0,198.0,4.3,2.0,2.0,0.0,0.0,4.0,204.0,7.0,3.0,0.0,10.0,4.0,11.0,1.0,2.0,8.0,50.0,2.0,2.0,4.0,23:28,8:20,W 22-6,W +3.5,U 44.5,3.5,44.5,28.0,U,1.0,2.2,32.6,0.0,0.4,0.3492063492063492,0.2857142857142857,0.6363636363636364,0.5,0.13043478260869565,4.304347826086956,3.0,0.015873015873015872,0.08695652173913043,36.53333333333333,23.466666666666665,0.6021897810218978,8.923357664233578,0.6088888888888888,0.2556818181818182,8.4375,21.0,14.5,342.0,229.0,2.35,38.675,0.3154482450257098,5.105,4.47,0.5,2.0,35.86666666666667,24.133333333333333,1.5,0.007936507936507936,0.043478260869565216,0.5851857996018579,9.546906104844062,0.5977777777777777,0.5915505865102639,9.460685483870968,6.0,1.5,0.4,0.375,0.5681818181818181,0.25,0.15848214285714285,1.0,1.0,1.0,1.0-1.0,0.5,1452.9941532295163,1606.7153402323927
10,2025,atl,3.0,3.0,2025-09-21,1.0,Sun,car,L,0.0,30.0,0,23.0,43.0,53.5,201.0,0.0,4.7,2.58,46.8,0.0,0.0,23.0,131.0,0.0,5.7,66.0,332.0,5.03,2.0,0.0,0.0,0.0,3.0,96.0,11.0,6.0,0.0,17.0,5.0,13.0,0.0,3.0,3.0,23.0,1.0,2.0,3.0,28:02,Sun,16.0,24.0,66.7,114.0,0.0,4.8,4.75,77.4,1.0,7.0,30.0,110.0,2.0,3.7,55.0,224.0,4.07,3.0,3.0,3.0,3.0,3.0,135.0,7.0,7.0,1.0,15.0,3.0,11.0,2.0,2.0,6.0,55.0,1.0,0.0,1.0,31:58,1:00,L 0-30,L -4.5,U 44,-4.5,44.0,30.0,U,0.0,0.0,41.5,0.0,0.38461538461538464,0.0,0.041666666666666664,0.7272727272727273,0.0,0.5454545454545454,4.072727272727272,-2.0,0.045454545454545456,0.01818181818181818,28.033333333333335,31.966666666666665,0.0,11.843043995243757,0.46722222222222226,0.9384775808133473,7.007299270072993,21.0,14.5,342.0,229.0,2.35,38.675,0.3154482450257098,5.105,4.47,0.5,2.0,35.86666666666667,24.133333333333333,1.5,0.007936507936507936,0.043478260869565216,0.5851857996018579,9.546906104844062,0.5977777777777777,0.5915505865102639,9.460685483870968,6.0,1.5,0.4,0.375,0.5681818181818181,0.25,0.15848214285714285,1.0,0.0,1.0,1.0-2.0,0.3333333333333333,1493.8745943009403,1369.0488466297616
11,2025,atl,4.0,4.0,2025-09-28,0.0,Sun,was,W,34.0,27.0,0,20.0,26.0,76.9,307.0,2.0,11.8,11.62,125.0,1.0,6.0,37.0,128.0,2.0,3.5,64.0,435.0,6.8,2.0,2.0,4.0,4.0,2.0,92.0,14.0,9.0,1.0,24.0,6.0,12.0,1.0,1.0,5.0,45.0,0.0,1.0,1.0,34:15,Sun,16.0,27.0,59.3,147.0,2.0,5.4,5.26,83.4,2.0,9.0,22.0,147.0,0.0,6.7,51.0,294.0,5.76,4.0,4.0,1.0,1.0,2.0,89.0,8.0,7.0,2.0,17.0,1.0,8.0,2.0,2.0,6.0,50.0,0.0,1.0,1.0,25:45,1:00,W 34-26,W -2.5,O 43.5,-2.5,43.5,61.0,O,4.0,3.7777777777777777,48.333333333333336,1.0,0.5,0.53125,0.07407407407407407,0.875,0.0,0.5294117647058824,5.764705882352941,0.0,0.015625,0.0196078431372549,34.25,25.75,0.9927007299270073,12.700729927007298,0.5708333333333333,1.0485436893203883,11.41747572815534,14.0,19.666666666666668,338.6666666666667,227.33333333333334,1.5666666666666667,39.61666666666667,0.21029883001713987,5.08,4.336666666666667,1.3333333333333333,1.6666666666666667,33.25555555555555,26.744444444444444,0.3333333333333333,0.020442520442520443,0.03504611330698287,0.3901238664012386,10.31228540164396,0.5542592592592592,0.7071929179446249,8.642890079271643,5.666666666666667,1.0,0.39487179487179486,0.25,0.6212121212121212,0.16666666666666666,0.1195436507936508,1.0,1.0,2.0,2.0-2.0,0.5,1455.1285157307648,1547.6766145431413
12,2025,atl,5.0,6.0,2025-10-13,0.0,Mon,buf,W,24.0,14.0,0,20.0,32.0,62.5,233.0,1.0,7.3,7.91,94.9,2.0,17.0,32.0,210.0,2.0,6.6,66.0,443.0,6.71,2.0,1.0,3.0,3.0,4.0,180.0,10.0,9.0,3.0,22.0,5.0,12.0,0.0,1.0,6.0,35.0,0.0,0.0,0.0,31:39,Mon,15.0,26.0,57.7,157.0,2.0,6.0,4.12,68.9,4.0,23.0,24.0,134.0,0.0,5.6,54.0,291.0,5.39,0.0,0.0,2.0,2.0,6.0,273.0,8.0,7.0,2.0,17.0,2.0,9.0,0.0,1.0,8.0,64.0,0.0,2.0,2.0,28:21,7:15,W 24-14,W +4,U 50,4.0,50.0,38.0,U,3.0,2.6666666666666665,49.22222222222222,0.0,0.4166666666666667,0.36363636363636365,0.15384615384615385,0.7777777777777778,1.0,0.25925925925925924,5.388888888888889,2.0,0.0,0.037037037037037035,31.65,28.35,0.7582938388625593,13.996840442338073,0.5275,0.49382716049382713,10.264550264550264,18.666666666666668,21.0,364.3333333333333,238.66666666666666,1.9925925925925927,40.81111111111111,0.2934854497354497,5.666666666666667,4.71,1.6666666666666667,2.0,32.93888888888889,27.061111111111114,0.3333333333333333,0.025650853775853775,0.04158206101940117,0.5316301703163017,11.15571052882821,0.5489814814814814,0.7475676961051846,8.954091666076112,5.666666666666667,0.3333333333333333,0.4282051282051282,0.3333333333333333,0.7462121212121212,0.16666666666666666,0.13381834215167546,1.0,1.0,3.0,3.0-3.0,0.5,1491.3762219028088,1620.8371939916642
13,2025,atl,6.0,7.0,2025-10-19,1.0,Sun,sfo,L,10.0,20.0,0,21.0,38.0,55.3,230.0,1.0,6.1,6.58,82.1,2.0,11.0,20.0,62.0,0.0,3.1,60.0,292.0,4.87,1.0,1.0,1.0,1.0,3.0,152.0,13.0,3.0,3.0,19.0,5.0,11.0,0.0,2.0,6.0,43.0,1.0,0.0,1.0,27:50,Sun,17.0,26.0,65.4,150.0,0.0,5.8,4.04,64.6,1.0,2.0,39.0,174.0,2.0,4.5,66.0,324.0,4.91,2.0,2.0,2.0,2.0,3.0,143.0,10.0,12.0,1.0,23.0,9.0,15.0,0.0,0.0,3.0,25.0,0.0,1.0,1.0,32:10,8:20,L 10-20,L -1,U 47,-1.0,47.0,30.0,U,1.0,1.6666666666666667,48.666666666666664,0.0,0.45454545454545453,0.16666666666666666,0.038461538461538464,0.4,0.0,0.30303030303030304,4.909090909090909,0.0,0.016666666666666666,0.015151515151515152,27.833333333333332,32.166666666666664,0.3592814371257485,10.491017964071856,0.46388888888888885,0.6217616580310882,10.072538860103627,19.333333333333332,23.666666666666668,403.3333333333333,269.6666666666667,2.1481481481481484,46.351851851851855,0.29829545454545453,6.18,5.073333333333333,1.3333333333333333,1.3333333333333333,31.311111111111114,28.688888888888886,0.0,0.020359848484848484,0.024942232785370038,0.5836648562631889,12.846871454863042,0.5218518518518519,0.8269494768758543,9.563108420926199,5.333333333333333,0.3333333333333333,0.4337606837606838,0.3333333333333333,0.7933501683501684,0.3333333333333333,0.08986229819563152,1.0,0.0,3.0,3.0-4.0,0.42857142857142855,1530.4717615167074,1533.426245277102
14,2025,atl,7.0,8.0,2025-10-26,0.0,Sun,mia,L,10.0,34.0,0,21.0,31.0,67.7,168.0,0.0,5.4,5.42,81.1,1.0,5.0,17.0,45.0,1.0,2.6,49.0,213.0,4.35,1.0,1.0,1.0,1.0,4.0,185.0,7.0,3.0,1.0,11.0,2.0,11.0,2.0,4.0,8.0,76.0,1.0,0.0,1.0,22:02,Sun,21.0,27.0,77.8,197.0,4.0,7.3,10.26,136.7,1.0,8.0,37.0,141.0,0.0,3.8,65.0,338.0,5.2,2.0,2.0,4.0,4.0,3.0,148.0,10.0,11.0,3.0,24.0,6.0,13.0,1.0,2.0,4.0,54.0,0.0,0.0,0.0,37:58,1:00,L 10-34,L -7,P 44,-7.0,44.0,44.0,P,1.0,1.4285714285714286,30.428571428571427,0.5,0.18181818181818182,0.20408163265306123,0.037037037037037035,0.5384615384615384,0.5,0.5230769230769231,5.2,-1.0,0.02040816326530612,0.0,22.033333333333335,37.96666666666667,0.45385779122541603,9.66717095310136,0.3672222222222222,0.8955223880597014,8.90254609306409,22.666666666666668,20.333333333333332,390.0,303.0,2.7037037037037037,48.74074074074074,0.3538510101010101,6.126666666666666,5.353333333333333,0.6666666666666666,1.3333333333333333,31.244444444444444,28.755555555555556,0.6666666666666666,0.010763888888888887,0.02393213177526903,0.7034253353051051,12.396196111139076,0.5207407407407407,0.7213775026151011,10.58485495093641,5.333333333333333,0.3333333333333333,0.457070707070707,0.3333333333333333,0.6842592592592592,0.3333333333333333,0.08879392212725545,1.0,0.0,3.0,3.0-5.0,0.375,1502.0069057983133,1366.0431485394492
15,2025,atl,8.0,9.0,2025-11-02,1.0,Sun,nwe,L,23.0,24.0,0,22.0,37.0,59.5,217.0,3.0,5.9,7.49,103.1,1.0,4.0,16.0,71.0,0.0,4.4,54.0,288.0,5.33,1.0,1.0,3.0,2.0,5.0,217.0,13.0,3.0,1.0,17.0,1.0,10.0,2.0,3.0,5.0,40.0,0.0,0.0,0.0,25:55,Sun,19.0,29.0,65.5,221.0,2.0,7.6,7.45,97.1,6.0,38.0,33.0,110.0,1.0,3.3,68.0,331.0,4.87,1.0,1.0,3.0,3.0,3.0,150.0,14.0,9.0,0.0,23.0,8.0,12.0,0.0,0.0,2.0,15.0,1.0,1.0,2.0,34:05,1:00,L 23-24,W +5.5,O 45.5,5.5,45.5,47.0,O,3.0,2.5555555555555554,32.0,0.6666666666666666,0.1,0.42592592592592593,0.20689655172413793,0.33333333333333337,0.0,0.35294117647058826,4.867647058823529,2.0,0.0,0.029411764705882353,25.916666666666668,34.083333333333336,0.887459807073955,11.112540192926044,0.43194444444444446,0.7041564792176038,9.711491442542787,14.666666666666666,22.666666666666668,316.0,317.6666666666667,1.9206349206349207,42.772486772486765,0.24479488765203047,5.31,5.166666666666667,0.6666666666666666,1.0,27.17222222222222,32.827777777777776,0.3333333333333333,0.01235827664399093,0.01739618406285073,0.5238110224045746,11.385009786503764,0.4528703703703703,0.6703704021948722,9.74654507257266,4.0,0.6666666666666666,0.351010101010101,0.16666666666666666,0.572079772079772,0.5,0.07644824311490979,1.0,0.0,3.0,3.0-6.0,0.3333333333333333,1462.4254996542395,1527.354561017353
24,2025,buf,1.0,1.0,2025-09-07,0.0,Sun,rav,W,41.0,40.0,0,33.0,46.0,71.7,389.0,2.0,8.5,9.33,111.6,1.0,5.0,31.0,108.0,3.0,3.5,78.0,497.0,6.37,3.0,3.0,2.0,2.0,4.0,158.0,18.0,9.0,2.0,29.0,7.0,15.0,1.0,1.0,5.0,38.0,0.0,0.0,0.0,34:49,Sun,14.0,19.0,73.7,194.0,2.0,10.2,12.32,141.1,2.0,15.0,29.0,238.0,3.0,8.2,50.0,432.0,8.64,2.0,2.0,5.0,4.0,3.0,152.0,8.0,10.0,1.0,19.0,6.0,11.0,0.0,0.0,7.0,51.0,1.0,0.0,1.0,25:11,8:20,W 41-40,W +1.5,O 51.5,1.5,51.5,81.0,O,5.0,3.4166666666666665,41.416666666666664,1.0,0.4666666666666667,0.5256410256410257,0.10526315789473684,0.4545454545454546,0.0,0.8,8.64,1.0,0.0,0.02,34.81666666666667,25.183333333333334,1.1775969363331737,14.274772618477739,0.5802777777777778,1.588352084712111,17.1542025148908,41.0,40.0,497.0,432.0,3.4166666666666665,41.416666666666664,0.5256410256410257,6.37,8.64,0.0,1.0,34.81666666666667,25.183333333333334,1.0,0.0,0.02,1.1775969363331737,14.274772618477739,0.5802777777777778,1.588352084712111,17.1542025148908,7.0,1.0,0.4666666666666667,1.0,0.4545454545454546,0.0,0.10526315789473684,1.0,1.0,1.0,1.0-0.0,1.0,1604.776035524659,1589.8648291524023
25,2025,buf,2.0,2.0,2025-09-14,1.0,Sun,nyj,W,30.0,10.0,0,15.0,27.0,55.6,179.0,0.0,6.6,6.63,76.0,1.0,1.0,43.0,224.0,3.0,5.2,71.0,403.0,5.68,3.0,3.0,3.0,3.0,3.0,130.0,9.0,12.0,4.0,25.0,5.0,14.0,2.0,2.0,6.0,69.0,0.0,0.0,0.0,38:21,Sun,10.0,22.0,45.5,54.0,1.0,2.5,3.36,67.6,4.0,29.0,21.0,100.0,0.0,4.8,47.0,154.0,3.28,1.0,1.0,1.0,1.0,7.0,340.0,5.0,5.0,1.0,11.0,0.0,11.0,3.0,3.0,5.0,35.0,1.0,0.0,1.0,21:39,1:00,W 30-10,W -5.5,U 47,-5.5,47.0,40.0,U,3.0,3.3333333333333335,44.77777777777778,1.0,0.35714285714285715,0.4225352112676056,0.18181818181818182,1.0,0.0,0.2127659574468085,3.276595744680851,1.0,0.0,0.02127659574468085,38.35,21.65,0.7822685788787483,10.508474576271187,0.6391666666666667,0.4618937644341802,7.113163972286374,35.5,25.0,450.0,293.0,3.375,43.09722222222222,0.47408811845431564,6.025,5.96,0.0,1.0,36.583333333333336,23.416666666666664,1.0,0.0,0.020638297872340425,0.9799327576059611,12.391623597374462,0.6097222222222223,1.0251229245731457,12.133683243588589,6.0,1.5,0.4119047619047619,1.0,0.7272727272727273,0.0,0.14354066985645933,1.0,1.0,2.0,2.0-0.0,1.0,1632.25907840924,1411.6269440466256
