Home_Team,Away_Team,Predicted_Winner_linear,Predicted_Winner_linear_win_noelo,Predicted_Winner_linearwinonly,Predicted_Winner_mlp_combined,Predicted_Winner_xgboost,Predicted_Winner_xgboost_noelo,Spread_Pick_avg_spread_custom_ensembles,Spread_Pick_linear,Spread_Pick_mlp_combined,Spread_Pick_mlp_spread,Spread_Pick_stacking_spread_custom_ensembles,Spread_Pick_weighted_spread_custom_ensembles,Spread_Pick_xgboost,Spread_Pick_xgboost_noelo,Home_Win_Probability_linear,Home_Win_Probability_linear_win_noelo,Home_Win_Probability_linearwinonly,Home_Win_Probability_mlp_combined,Home_Win_Probability_xgboost,Home_Win_Probability_xgboost_noelo,Predicted_Total_linear,Predicted_Total_xgboost,Predicted_Total_xgboost_noelo
ATL,WAS,,,,,,,N/A,N/A,N/A,ATL by 4.7,N/A,N/A,N/A,N/A,,,,,,,,,
BUF,NOR,,,,,,,N/A,N/A,N/A,BUF by 14.2,N/A,N/A,N/A,N/A,,,,,,,,,
CIN,JAX,JAX,JAX,JAX,JAX,CIN,CIN,JAX by 0.9,JAX by 5.8,JAX by 4.6,N/A,CIN by 11.7,JAX by 0.1,JAX by 8.4,JAX by 4.8,0.31,0.25,0.46,0.42,0.61,0.52,5.00,50.80,55.10
CLT,DEN,CLT,CLT,CLT,CLT,DEN,CLT,CLT by 3.4,CLT by 7.5,CLT by 11.8,N/A,CLT by 0.4,CLT by 3.4,CLT by 1.8,CLT by 10.4,0.80,0.89,0.68,0.82,0.43,0.66,-3.40,44.80,47.00
CRD,CAR,CRD,CRD,CRD,CRD,CAR,CAR,CRD by 5.2,CRD by 3.7,CRD by 6.8,N/A,CRD by 8.1,CRD by 5.6,CAR by 2.8,CRD by 1.3,0.54,0.71,0.57,0.58,0.40,0.26,1.40,57.10,53.50
CRD,SEA,,,,,,,N/A,N/A,N/A,SEA by 4.0,N/A,N/A,N/A,N/A,,,,,,,,,
DAL,GNB,,,,,,,N/A,N/A,N/A,GNB by 10.8,N/A,N/A,N/A,N/A,,,,,,,,,
DAL,NYG,DAL,DAL,DAL,DAL,NYG,NYG,DAL by 2.5,DAL by 5.9,DAL by 4.1,N/A,DAL by 4.2,DAL by 2.8,NYG by 9.0,DAL by 3.2,0.80,0.75,0.64,0.85,0.38,0.37,-0.30,40.20,43.90
DEN,CIN,,,,,,,N/A,N/A,N/A,DEN by 1.9,N/A,N/A,N/A,N/A,,,,,,,,,
DET,CHI,DET,CHI,DET,DET,CHI,CHI,DET by 4.5,CHI by 1.4,CHI by 11.0,N/A,DET by 19.7,DET by 5.6,CHI by 3.3,CHI by 2.7,0.66,0.42,0.64,0.77,0.24,0.16,-2.90,56.20,57.70
DET,CLE,,,,,,,N/A,N/A,N/A,DET by 20.4,N/A,N/A,N/A,N/A,,,,,,,,,
GNB,WAS,WAS,WAS,GNB,GNB,WAS,WAS,GNB by 0.8,WAS by 1.8,GNB by 3.4,N/A,GNB by 7.4,GNB by 1.3,GNB by 0.1,GNB by 4.5,0.48,0.44,0.51,0.59,0.09,0.40,-1.20,36.60,48.60
HTX,OTI,,,,,,,N/A,N/A,N/A,HTX by 9.7,N/A,N/A,N/A,N/A,,,,,,,,,
HTX,TAM,TAM,HTX,HTX,HTX,TAM,HTX,Push,TAM by 3.7,HTX by 4.7,N/A,HTX by 1.8,HTX by 0.2,TAM by 1.6,TAM by 6.3,0.48,0.50,0.51,0.59,0.43,0.58,-2.70,34.60,36.30
KAN,PHI,KAN,KAN,KAN,KAN,PHI,PHI,KAN by 0.0,KAN by 0.2,KAN by 8.8,N/A,KAN by 9.7,KAN by 0.7,PHI by 9.8,PHI by 7.7,0.51,0.53,0.55,0.67,0.48,0.30,-0.00,65.70,71.40
KAN,RAV,,,,,,,N/A,N/A,N/A,KAN by 1.7,N/A,N/A,N/A,N/A,,,,,,,,,
MIA,NWE,MIA,NWE,NWE,NWE,NWE,NWE,MIA by 3.9,NWE by 4.3,MIA by 2.3,N/A,MIA by 26.4,MIA by 5.5,NWE by 7.8,NWE by 7.3,0.59,0.36,0.41,0.42,0.38,0.36,-0.70,44.10,45.50
MIA,NYJ,,,,,,,N/A,N/A,N/A,MIA by 7.1,N/A,N/A,N/A,N/A,,,,,,,,,
MIN,ATL,MIN,ATL,ATL,MIN,ATL,ATL,MIN by 4.0,ATL by 0.7,MIN by 4.1,N/A,MIN by 18.7,MIN by 5.2,ATL by 6.7,ATL by 9.1,0.57,0.45,0.46,0.71,0.37,0.42,2.10,40.40,42.60
NOR,SFO,SFO,SFO,SFO,SFO,SFO,SFO,SFO by 4.0,SFO by 5.2,SFO by 5.6,N/A,SFO by 4.6,SFO by 4.1,SFO by 10.3,SFO by 8.2,0.35,0.41,0.40,0.41,0.19,0.22,2.60,48.70,51.70
NWE,CAR,,,,,,,N/A,N/A,N/A,NWE by 5.2,N/A,N/A,N/A,N/A,,,,,,,,,
NYG,SDG,,,,,,,N/A,N/A,N/A,SDG by 12.7,N/A,N/A,N/A,N/A,,,,,,,,,
NYJ,BUF,BUF,NYJ,BUF,BUF,NYJ,BUF,BUF by 2.1,BUF by 2.4,BUF by 7.4,N/A,BUF by 6.3,BUF by 2.3,BUF by 8.5,BUF by 2.4,0.31,0.55,0.37,0.33,0.54,0.45,2.60,42.00,44.20
OTI,RAM,RAM,RAM,RAM,RAM,OTI,RAM,RAM by 8.0,RAM by 9.1,RAM by 18.5,N/A,RAM by 19.0,RAM by 8.9,RAM by 5.8,RAM by 9.8,0.13,0.23,0.23,0.19,0.56,0.33,2.10,46.60,49.30
PIT,MIN,,,,,,,N/A,N/A,N/A,PIT by 0.8,N/A,N/A,N/A,N/A,,,,,,,,,
PIT,SEA,PIT,PIT,PIT,PIT,SEA,SEA,PIT by 2.9,PIT by 2.9,PIT by 0.6,N/A,PIT by 5.4,PIT by 3.2,SEA by 4.3,PIT by 7.1,0.62,0.67,0.51,0.65,0.43,0.45,0.70,52.50,53.60
RAI,CHI,,,,,,,N/A,N/A,N/A,RAI by 2.8,N/A,N/A,N/A,N/A,,,,,,,,,
RAI,SDG,SDG,SDG,SDG,SDG,RAI,RAI,SDG by 2.0,SDG by 3.5,SDG by 5.1,N/A,SDG by 4.8,SDG by 2.2,SDG by 7.1,SDG by 9.1,0.28,0.44,0.44,0.43,0.50,0.62,0.00,34.80,37.50
RAM,CLT,,,,,,,N/A,N/A,N/A,CLT by 0.3,N/A,N/A,N/A,N/A,,,,,,,,,
RAV,CLE,RAV,RAV,CLE,RAV,CLE,CLE,RAV by 3.6,RAV by 2.6,RAV by 1.0,N/A,RAV by 18.5,RAV by 4.8,CLE by 0.6,RAV by 3.7,0.70,0.69,0.45,0.77,0.41,0.27,2.90,49.90,48.50
SFO,JAX,,,,,,,N/A,N/A,N/A,JAX by 1.6,N/A,N/A,N/A,N/A,,,,,,,,,
TAM,PHI,,,,,,,N/A,N/A,N/A,PHI by 1.9,N/A,N/A,N/A,N/A,,,,,,,,,
