Home_Team,Away_Team,Predicted_Winner_linearwinonly,Predicted_Winner_xgboost,Predicted_Winner_mlp_combined,Predicted_Winner_linear_win_noelo,Predicted_Winner_xgboost_noelo,Spread_Pick_linear,Spread_Pick_xgboost,Spread_Pick_mlp_combined,Spread_Pick_stacking_spread_custom_ensembles,Spread_Pick_weighted_spread_custom_ensembles,Spread_Pick_xgboost_noelo,Home_Win_Probability_linear,Home_Win_Probability_linear_win_noelo,Home_Win_Probability_linearwinonly,Home_Win_Probability_mlp_combined,Home_Win_Probability_xgboost,Home_Win_Probability_xgboost_noelo,Predicted_Total_linear,Predicted_Total_xgboost,Predicted_Total_xgboost_noelo
CHI,NOR,CHI,NOR,CHI,CHI,NOR,CHI by 2.2,CHI by 0.1,CHI by 5.4,CHI by 8.4,CHI by 3.1,CHI by 5.5,0.7,0.66,0.61,0.75,0.26,0.47,-0.9,48.3,51.4
CIN,PIT,PIT,CIN,PIT,PIT,CIN,PIT by 6.9,PIT by 7.0,PIT by 10.1,PIT by 5.3,PIT by 5.7,PIT by 6.7,0.23,0.27,0.31,0.29,0.6,0.56,-1.7,44.7,44.6
CLE,MIA,CLE,MIA,MIA,MIA,MIA,MIA by 2.6,MIA by 11.4,CLE by 0.6,MIA by 1.6,MIA by 1.2,MIA by 16.2,0.42,0.43,0.5,0.43,0.4,0.44,0.9,42.9,47.5
CRD,GNB,GNB,GNB,GNB,GNB,GNB,GNB by 4.9,GNB by 5.7,GNB by 6.9,GNB by 7.6,GNB by 3.9,GNB by 5.9,0.26,0.4,0.35,0.3,0.46,0.49,-0.8,43.4,47.2
DAL,WAS,WAS,DAL,WAS,WAS,WAS,WAS by 2.5,WAS by 4.1,WAS by 4.4,WAS by 2.8,WAS by 1.8,WAS by 3.1,0.4,0.48,0.46,0.44,0.52,0.46,-1.1,45.9,43.5
DEN,NYG,DEN,DEN,DEN,DEN,NYG,DEN by 5.4,NYG by 4.7,DEN by 11.2,DEN by 11.6,DEN by 6.4,DEN by 1.0,0.78,0.73,0.73,0.82,0.6,0.46,-1,50,52.3
DET,TAM,DET,DET,DET,DET,TAM,DET by 2.2,TAM by 5.9,DET by 11.8,DET by 3.7,DET by 2.1,DET by 1.1,0.61,0.63,0.61,0.65,0.51,0.38,-0.6,35,40.4
JAX,RAM,JAX,RAM,JAX,JAX,JAX,RAM by 1.8,JAX by 0.8,JAX by 2.7,RAM by 2.6,RAM by 0.6,JAX by 0.4,0.46,0.52,0.5,0.56,0.35,0.55,0.4,40.6,47.2
KAN,RAI,KAN,KAN,KAN,KAN,KAN,KAN by 6.2,RAI by 0.2,KAN by 17.2,KAN by 4.1,KAN by 5.1,KAN by 8.9,0.83,0.77,0.71,0.79,0.65,0.65,0.7,43.2,40.6
MIN,PHI,MIN,PHI,MIN,MIN,PHI,MIN by 0.6,PHI by 0.9,MIN by 6.3,MIN by 0.9,MIN by 0.7,PHI by 4.1,0.59,0.62,0.57,0.59,0.18,0.48,-4.7,40.1,42.3
NYJ,CAR,CAR,NYJ,CAR,CAR,NYJ,CAR by 3.3,CAR by 7.8,CAR by 3.0,CAR by 4.4,CAR by 3.3,NYJ by 0.3,0.38,0.47,0.37,0.37,0.61,0.65,-1.1,50.3,51.9
OTI,NWE,NWE,NWE,NWE,NWE,NWE,NWE by 6.8,NWE by 16.8,NWE by 2.5,NWE by 15.5,NWE by 8.0,NWE by 15.6,0.27,0.31,0.38,0.26,0.41,0.31,0.3,49.8,53.1
SDG,CLT,CLT,CLT,CLT,CLT,CLT,CLT by 4.5,CLT by 10.6,SDG by 2.1,SDG by 3.3,CLT by 0.9,CLT by 4.7,0.37,0.33,0.48,0.37,0.34,0.24,-1.8,44.5,41.9
SEA,HTX,SEA,HTX,SEA,SEA,HTX,SEA by 2.7,HTX by 1.8,SEA by 11.8,SEA by 11.8,SEA by 4.2,SEA by 0.1,0.71,0.67,0.58,0.83,0.47,0.37,-1.8,45.1,40.6
SFO,ATL,SFO,ATL,SFO,SFO,ATL,ATL by 0.8,ATL by 10.0,ATL by 8.9,SFO by 7.7,SFO by 1.4,SFO by 3.2,0.54,0.5,0.52,0.59,0.28,0.31,-0.2,41.9,49.1
