Home_Team,Away_Team,Predicted_Winner_linear,Predicted_Winner_linear_win_noelo,Predicted_Winner_linearwinonly,Predicted_Winner_mlp_combined,Predicted_Winner_xgboost,Predicted_Winner_xgboost_noelo,Spread_Pick_avg_spread_custom_ensembles,Spread_Pick_linear,Spread_Pick_mlp_combined,Spread_Pick_stacking_spread_custom_ensembles,Spread_Pick_weighted_spread_custom_ensembles,Spread_Pick_xgboost,Spread_Pick_xgboost_noelo,Home_Win_Probability_linear,Home_Win_Probability_linear_win_noelo,Home_Win_Probability_linearwinonly,Home_Win_Probability_mlp_combined,Home_Win_Probability_xgboost,Home_Win_Probability_xgboost_noelo,Predicted_Total_linear,Predicted_Total_xgboost,Predicted_Total_xgboost_noelo
BUF,KAN,KAN,KAN,KAN,KAN,BUF,BUF,KAN by 2.2,KAN by 6.5,KAN by 6.4,BUF by 6.3,KAN by 1.7,KAN by 11.2,KAN by 8.7,0.25,0.29,0.36,0.28,0.52,0.51,-0.90,46.30,43.00
CIN,CHI,CHI,CHI,CHI,CIN,CIN,CIN,CHI by 4.3,CHI by 3.0,CHI by 5.2,CHI by 5.8,CHI by 4.5,CHI by 3.0,CHI by 2.3,0.43,0.46,0.49,0.51,0.60,0.50,-0.10,44.50,45.40
DAL,CRD,DAL,DAL,DAL,DAL,CRD,CRD,DAL by 3.3,DAL by 5.2,DAL by 13.0,DAL by 7.3,DAL by 3.8,CRD by 2.5,DAL by 9.2,0.72,0.74,0.63,0.74,0.35,0.35,1.20,51.50,51.00
DET,MIN,DET,DET,DET,DET,MIN,MIN,DET by 3.2,DET by 2.6,DET by 6.4,DET by 8.5,DET by 3.7,MIN by 1.7,DET by 3.4,0.64,0.64,0.58,0.64,0.40,0.49,-0.00,47.10,46.60
GNB,CAR,GNB,GNB,GNB,GNB,CAR,CAR,GNB by 3.3,GNB by 0.8,GNB by 4.7,GNB by 13.3,GNB by 4.1,CAR by 3.7,GNB by 3.2,0.71,0.58,0.58,0.74,0.47,0.49,0.90,50.50,51.50
HTX,DEN,HTX,HTX,HTX,HTX,DEN,HTX,HTX by 3.7,HTX by 4.2,HTX by 12.1,HTX by 6.8,HTX by 4.1,HTX by 4.2,HTX by 10.3,0.64,0.76,0.54,0.67,0.49,0.69,-0.90,34.20,33.40
MIA,RAV,RAV,MIA,RAV,RAV,RAV,MIA,RAV by 3.6,RAV by 1.1,RAV by 6.9,RAV by 12.9,RAV by 4.2,RAV by 10.0,RAV by 4.7,0.31,0.51,0.41,0.34,0.29,0.52,-1.10,40.80,45.70
NWE,ATL,NWE,NWE,NWE,NWE,ATL,ATL,NWE by 0.7,NWE by 0.8,NWE by 3.9,NWE by 1.5,NWE by 0.9,NWE by 0.1,NWE by 3.1,0.56,0.61,0.55,0.59,0.26,0.39,-0.20,39.00,42.50
NYG,SFO,SFO,NYG,SFO,SFO,SFO,SFO,SFO by 2.5,SFO by 1.3,SFO by 2.9,SFO by 5.1,SFO by 2.7,SFO by 14.1,SFO by 3.3,0.34,0.52,0.38,0.39,0.33,0.36,-0.00,46.00,48.30
OTI,SDG,SDG,SDG,SDG,SDG,SDG,SDG,SDG by 4.3,SDG by 5.6,SDG by 7.2,SDG by 7.5,SDG by 4.6,SDG by 6.6,SDG by 8.4,0.16,0.38,0.29,0.31,0.26,0.40,1.10,42.60,44.50
PIT,CLT,CLT,CLT,CLT,CLT,CLT,CLT,CLT by 0.8,CLT by 1.3,CLT by 2.3,PIT by 3.2,CLT by 0.5,CLT by 14.4,CLT by 11.9,0.43,0.48,0.49,0.40,0.46,0.28,1.60,51.90,51.60
RAI,JAX,JAX,JAX,JAX,JAX,RAI,JAX,JAX by 3.8,JAX by 2.3,JAX by 1.7,JAX by 10.1,JAX by 4.2,JAX by 11.9,JAX by 5.8,0.38,0.48,0.45,0.36,0.52,0.40,-1.00,44.40,45.80
RAM,NOR,RAM,RAM,RAM,RAM,NOR,NOR,RAM by 7.2,RAM by 4.3,RAM by 19.6,RAM by 21.9,RAM by 8.5,NOR by 6.6,NOR by 0.4,0.83,0.68,0.74,0.86,0.32,0.38,-1.90,36.00,39.20
WAS,SEA,SEA,SEA,SEA,SEA,SEA,SEA,SEA by 2.5,SEA by 4.1,SEA by 8.7,SEA by 4.8,SEA by 2.7,SEA by 6.7,SEA by 7.7,0.37,0.43,0.37,0.33,0.47,0.34,-0.60,63.60,59.10
