Home_Team,Away_Team,Predicted_Winner_Linear,Predicted_Winner_XGB,Models_Agree_On_Winner,Prob_Linear,Prob_XGB,Prob_Diff,Spread_Linear,Spread_XGB,Spread_Diff
MIA,RAV,RAV,RAV,True,0.31,0.29,0.03,-1.10,-10.00,8.90
NYG,SFO,SFO,SFO,True,0.34,0.33,0.01,-1.30,-14.10,12.80
OTI,SDG,SDG,SDG,True,0.16,0.26,0.10,-5.60,-6.60,1.00
DET,MIN,DET,MIN,False,0.64,0.40,0.24,2.60,-1.70,4.30
NWE,ATL,NWE,ATL,False,0.56,0.26,0.30,0.80,0.10,0.70
PIT,CLT,CLT,CLT,True,0.43,0.46,0.03,-1.30,-14.40,13.10
HTX,DEN,HTX,DEN,False,0.64,0.49,0.14,4.20,4.20,0.00
CIN,CHI,CHI,CIN,False,0.43,0.60,0.16,-3.00,-3.00,0.00
GNB,CAR,GNB,CAR,False,0.71,0.47,0.24,0.80,-3.70,4.50
RAM,NOR,RAM,NOR,False,0.83,0.32,0.51,4.30,-6.60,10.90
RAI,JAX,JAX,RAI,False,0.38,0.52,0.14,-2.30,-11.90,9.60
BUF,KAN,KAN,BUF,False,0.25,0.52,0.27,-6.50,-11.20,4.70
WAS,SEA,SEA,SEA,True,0.37,0.47,0.10,-4.10,-6.70,2.60
DAL,CRD,DAL,CRD,False,0.72,0.35,0.37,5.20,-2.50,7.70
